,Unnamed: 0,province,date,confirmed,confirmed (cumulative),deaths,deaths (cumulative),recovered,recovered (cumulative),population,area ($km^2$),north border (latitude),south border (latitude),east border (longitude),west border (longitude),capital,capital coordinate (latitude),capital coordinate (longitude)
0,0,ACEH,01-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
1,1,ACEH,02-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
2,2,ACEH,03-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
3,3,ACEH,04-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
4,4,ACEH,05-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
5,5,ACEH,06-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
6,6,ACEH,07-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
7,7,ACEH,08-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
8,8,ACEH,09-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
9,9,ACEH,10-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
10,10,ACEH,11-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
11,11,ACEH,12-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
12,12,ACEH,13-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
13,13,ACEH,14-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
14,14,ACEH,15-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
15,15,ACEH,16-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
16,16,ACEH,17-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
17,17,ACEH,18-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
18,18,ACEH,19-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
19,19,ACEH,20-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
20,20,ACEH,21-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
